ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,BDRMS+,SIZE_SQFT,AGE,STYLE,BSMT,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,PARCEL_NO,COMMUNITY,TYPE,LAT,LON
143 Deerpath Drive ,"$799,900",['Sold on May 17 2021'],"$911,000",5,3,-,-,16-30 years,2-Storey,Finished,-,-,2020,5100,116.48,43.11,-,Parkwood Gardens,ResidentialProperty,43.52761025,-80.27005524
143 Elmira Road ,"$848,888",['Sold on Dec 07 2021'],"$1,235,000",1,4,2,2500-3000,16-30 years,2-Storey,Finished,2021,523000,2021,5976,123.32,49,2389,West Willow Woods,ResidentialProperty,-,-
145 Suffolk Street West ,"$938,000",['Sold on Aug 24 2021'],"$870,000",43,2,-,1100-1500,100+ years,Bungalow,Full,2021,431000,2021,4924.64,98,59,712920038,Central West,ResidentialProperty,43.5448711,-80.25989188
147 King Street ,"$1,349,900",['Sold on Oct 07 2021'],"$1,325,000",7,4,-,1500-2000,-,2 1/2 Storey,Full,2021,427000,2021,5873,100,72,73190280,Two Rivers,ResidentialProperty,43.5521235,-80.2514196
149 Fife Road ,"$700,000",['Sold on Jul 12 2021'],"$740,000",5,4,-,1500-2000,31-50 years,2-Storey,Full,2021,412000,2021,4707.55,139,50,-,West Willow Woods,ResidentialProperty,43.51457923,-80.27485402
15 Duck Lane ,"$999,999",['Sold on May 18 2021'],"$1,140,000",21,4,1,-,-,2-Storey,Fin W/O,-,-,2020,5626,-,36,-,Pine Ridge,ResidentialProperty,43.5114025,-80.1788685
15 Laverne Avenue ,"$799,900",['Sold on Jul 16 2021'],"$753,598",22,3,1,-,-,Bungalow,Sep Entrance,-,-,2020,3682.93,117,55,-,Brant,ResidentialProperty,43.56330828,-80.24601541
15 Lonsdale Drive ,"$689,900",['Sold on Jun 07 2021'],"$850,000",4,3,-,1100-1500,51-99 years,Sidesplit 3,Finished,2021,342000,2021,3907.72,100,56,712950148,Exhibition Park,ResidentialProperty,43.55349453,-80.27869525
152 Paisley Street ,"$749,900",['Sold on Oct 21 2021'],"$800,000",8,3,-,1100-1500,100+ years,2 1/2 Storey,Full,2021,389000,2021,4444.75,122,36,712890080,Central West,ResidentialProperty,43.54243509,-80.25850242
152 Waverley Drive ,"$699,000",['Sold on Jul 09 2021'],"$682,888",11,3,-,700-1100,31-50 years,Bungalow,Sep Entrance,2021,318000,2021,3793,110,50,-,Waverley,ResidentialProperty,43.5728871,-80.257465
154 Alice Street ,"$499,500",['Sold on Oct 26 2021'],"$400,000",12,2,-,-,100+ years,Bungalow,Unfinished,-,-,2020,2092.56,48.42,27.58,713420174,Two Rivers,ResidentialProperty,43.54864962,-80.23491942
154 Clairfields Drive West ,"$899,999",['Sold on May 31 2021'],"$880,000",11,3,1,2000-2500,16-30 years,Backsplit 3,Full,-,-,2020,5313.13,110,40,-,Pine Ridge,ResidentialProperty,43.4982691,-80.19917983
154 Goodwin Drive ,"$1,129,000",['Sold on Jul 13 2021'],"$1,220,000",5,3,-,3000-3500,16-30 years,2 1/2 Storey,Finished,2021,614000,2020,7236,117,40,71186235,Clairfields,ResidentialProperty,43.510373,-80.179034
158 York Road ,"$499,900",['Sold on Oct 12 2021'],"$581,000",8,2,-,700-1100,100+ years,Bungalow,Part Bsmt,2021,197000,2021,2200,58,38,713400080,Two Rivers,ResidentialProperty,43.5438873,-80.2350662
16 Blair Drive ,"$1,099,990",['Sold on Nov 21 2021'],"$1,180,000",6,4,2,-,-,2-Storey,Finished,-,-,2021,5518.8,104.99,40.03,711860941,Pine Ridge,ResidentialProperty,43.51088443,-80.1870418
16 Gorman Court ,"$1,249,000",['Sold on May 26 2021'],"$1,138,000",20,4,2,2000-2500,0-5 years,2-Storey,Finished,-,-,2021,5954.48,100.45,27.49,-,West Willow Woods,ResidentialProperty,-,-
16 Islington Avenue ,"$749,000",['Sold on Oct 14 2021'],"$889,000",1,3,1,-,31-50 years,Sidesplit 4,Part Fin,-,-,2021,4207.6,-,45.27,713580671,Waverley,ResidentialProperty,43.5778368,-80.26312191
16 Ontario Street ,"$538,800",['Sold on Nov 08 2021'],"$530,000",8,2,-,-,-,Bungalow,Crawl Space,-,-,2021,1954,117,41,713400014,Two Rivers,ResidentialProperty,43.54438343,-80.24000717
16 Sloan Avenue ,"$599,000",['Sold on Sep 06 2021'],"$715,000",4,3,2,1100-1500,-,Bungalow-Raised,Fin W/O,-,-,2021,3713.48,91.25,42.19,713440107,Grange Hill East,ResidentialProperty,43.55801112,-80.21780114
16 Southcreek Trail ,"$649,900",['Sold on Aug 24 2021'],"$850,000",4,3,-,-,16-30 years,2-Storey,Unfinished,-,-,2021,4044.84,113.9,33.96,714900462,Kortright Hills,ResidentialProperty,43.51076651,-80.21657632
16 Tiffany Street East ,"$595,000",['Sold on Jun 15 2021'],"$655,000",7,3,-,1100-1500,100+ years,2-Storey,Part Bsmt,2021,367000,2020,3772.75,67.33,21.17,713190168,Exhibition Park,ResidentialProperty,43.55300651,-80.25968355
165 Dimson Avenue ,"$1,275,000",['Sold on May 06 2021'],"$1,425,000",7,3,1,2000-2500,-,Bungalow,Full,-,-,2020,7612.86,131.03,69.88,-,Village,ResidentialProperty,43.526676,-80.21655898
168 London Road West ,"$599,000",['Sold on Oct 19 2021'],"$715,000",6,2,1,1100-1500,100+ years,1 1/2 Storey,Finished,-,-,2021,3042.16,99,36.69,712930060,Exhibition Park,ResidentialProperty,43.54623368,-80.26201306
168 Victoria Avenue North ,"$499,900",['Sold on Oct 06 2021'],"$678,000",7,4,-,-,51-99 years,Bungalow,Full,-,-,2021,3576.37,138,50,-,Central East,ResidentialProperty,-,-
169 Dallan Drive ,"$1,089,000",['Sold on May 22 2021'],"$1,090,000",25,4,2,2000-2500,0-5 years,2-Storey,Finished,-,-,2021,5939.84,104.99,29.53,-,Guelph South,ResidentialProperty,43.5040011,-80.1799479
17 Brydges Court ,"$729,000",['Sold on May 02 2021'],"$785,000",5,3,-,-,16-30 years,2-Storey,Part Fin,-,-,2020,4132.06,111.02,29.66,714930522,Grange Hill East,ResidentialProperty,43.5709229,-80.22237365
17 Dominion Drive ,"$1,175,000",['Sold on Aug 22 2021'],"$1,131,000",17,4,1,2000-2500,6-15 years,2-Storey,Finished,-,-,2021,6364.38,110,38.48,711862507,Pine Ridge,ResidentialProperty,43.51175133,-80.17917
17 Fairmeadow Drive ,"$850,000",['Sold on Oct 19 2021'],"$920,000",5,3,1,1500-2000,31-50 years,Sidesplit 4,Finished,2021,379000,2020,4300,110.04,49.02,712570192,Parkwood Gardens,ResidentialProperty,43.51699856,-80.27275467
17 Knevitt Place ,"$899,900",['Sold on Jun 08 2021'],"$885,000",7,4,-,1500-2000,100+ years,Sidesplit 5,Finished,-,-,2020,6108.26,107,90,-,Old University,ResidentialProperty,43.515778,-80.248716
17 Mctague Street ,"$995,000",['Sold on Nov 01 2021'],"$1,380,000",5,4,1,2000-2500,51-99 years,2 1/2 Storey,Finished,2021,564000,2021,6443,124,55.45,712990108,Exhibition Park,ResidentialProperty,43.55048813,-80.25824112
17 Old Colony Trail ,"$875,000",['Sold on Jun 07 2021'],"$980,000",6,3,1,1500-2000,31-50 years,2-Storey,Finished,2016,444000,2020,4985.42,157.01,45.47,712200054,Kortright Hills,ResidentialProperty,43.50897657,-80.23971801
17 Ridgeway Avenue ,"$1,399,900",['Sold on Sep 14 2021'],"$1,600,000",5,4,1,2500-3000,51-99 years,2-Storey,Apartment,2021,648000,2021,7404.11,200,79.99,711860039,Pine Ridge,ResidentialProperty,43.51518507,-80.19434834
17 Trailbrook Lane ,"$769,900",['Sold on Oct 18 2021'],"$821,000",6,3,-,1100-1500,16-30 years,2-Storey,Full,2021,349000,2021,3987.71,101.71,29.53,713440191,Grange Hill East,ResidentialProperty,43.56090906,-80.22412371
17 University Avenue West ,"$849,900",['Sold on Nov 24 2021'],"$1,000,000",7,3,1,1500-2000,51-99 years,Sidesplit 4,Finished,2021,472000,2021,5393.11,56,99.84,712410045,Old University,ResidentialProperty,43.5327277,-80.2364068
17 Whittaker Court ,"$799,000",['Sold on May 19 2021'],"$950,000",6,3,-,-,16-30 years,2-Storey,Finished,2021,388000,2021,4574,168.59,23.43,714890092,Kortright Hills,ResidentialProperty,43.50425967,-80.24483833
174 Deerpath Drive ,"$899,900",['Sold on Jul 27 2021'],"$900,000",21,5,-,-,16-30 years,Backsplit 3,Sep Entrance,-,-,2021,5796,147.16,39.4,-,West Willow Woods,ResidentialProperty,43.52395191,-80.2697068
175 Farley Drive ,"$879,900",['Sold on Nov 12 2021'],"$875,000",14,2,1,1100-1500,16-30 years,Bungalow,Apartment,2021,390000,2021,456,104,49,711860671,Pine Ridge,ResidentialProperty,43.508003,-80.191975
177 Glasgow Street North ,"$989,900",['Sold on Sep 24 2021'],"$1,175,000",9,3,-,2000-2500,100+ years,2 1/2 Storey,Half,2021,563000,2021,6288,104,52,712920096,Exhibition Park,ResidentialProperty,43.54601327,-80.25842587
179 Harvard Road ,"$739,988",['Sold on Aug 17 2021'],"$820,000",10,4,-,1100-1500,31-50 years,Bungalow-Raised,Finished,-,-,2021,4090.54,108.27,54.46,712260089,Central West,ResidentialProperty,43.51753688,-80.22554025
18 Blair Drive ,"$999,900",['Sold on May 26 2021'],"$1,040,000",9,5,-,2000-2500,16-30 years,2-Storey,Finished,2020,571000,2020,6458,-,38,-,Pine Ridge,ResidentialProperty,43.51095592,-80.18694163
18 Carrington Place ,"$1,099,900",['Sold on Oct 13 2021'],"$1,149,900",9,3,2,2500-3000,16-30 years,2 1/2 Storey,Apartment,2021,546000,2021,6238,-,24,-,Guelph South,ResidentialProperty,43.51160092,-80.2076691
18 Creighton Avenue ,"$849,900",['Sold on Aug 01 2021'],"$887,500",4,3,-,1500-2000,6-15 years,Bungalow,Full,2021,-,2020,4906.82,110,39.48,714932361,Grange Hill East,ResidentialProperty,43.5716952,-80.2274831
18 Pinnacle Crescent ,"$879,900",['Sold on May 03 2021'],"$880,000",12,3,-,1500-2000,31-50 years,Bungalow,Finished,-,-,2021,4929.27,-,60,-,West Willow Woods,ResidentialProperty,43.52388593,-80.27260889
18 Springdale Boulevard ,"$599,900",['Sold on May 26 2021'],"$800,000",6,3,1,700-1100,31-50 years,Bungalow-Raised,Fin W/O,2020,309000,2020,3469.58,100,52,712570072,Parkwood Gardens,ResidentialProperty,43.51794567,-80.27341701
18 Walman Drive ,"$699,900",['Sold on Nov 23 2021'],"$770,100",6,3,2,1100-1500,31-50 years,2-Storey,Finished,2021,353000,2021,4033.41,117.67,30.02,712230093,Hanlon Creek,ResidentialProperty,43.51568522,-80.22914566
180 Country Club Drive ,"$669,000",['Sold on Aug 13 2021'],"$800,000",2,3,1,700-1100,31-50 years,Bungalow,Finished,2016,294000,2021,3359,117.9,36,713580472,Waverley,ResidentialProperty,43.57633209,-80.26855835
184 Edinburgh Road North ,"$624,900",['Sold on May 01 2021'],"$785,000",4,2,-,700-1100,100+ years,Bungalow,Full,-,-,2020,4008.55,132,66.01,-,Onward Willow,ResidentialProperty,43.5416606,-80.2640555
184 Waverley Drive ,"$724,900",['Sold on Oct 21 2021'],"$724,900",8,3,-,-,51-99 years,Bungalow,Finished,-,-,2021,3530.6,105,52,-,Waverley,ResidentialProperty,43.57246821,-80.25538606
186 Rickson Avenue ,"$649,900",['Sold on Jun 09 2021'],"$710,000",6,3,1,1100-1500,16-30 years,2-Storey,Finished,-,-,2021,3873,117.01,31.17,-,Hanlon Creek,ResidentialProperty,43.51341525,-80.21178081
187 Goodwin Drive ,"$950,000",['Sold on Nov 29 2021'],"$1,110,250",5,3,-,2000-2500,6-15 years,Backsplit 5,Full,2021,447000,2021,5107.46,105,30,711863480,Pine Ridge,ResidentialProperty,43.512116,-80.1764871
188 Stevenson Street North ,"$419,900",['Sold on Jul 07 2021'],"$410,000",8,3,-,700-1100,51-99 years,Bungalow,Part Bsmt,2016,234000,2021,2673.7,102.89,39.99,-,Central East,ResidentialProperty,43.5575373,-80.241065
189 Goodwin Drive ,"$949,000",['Sold on Oct 07 2021'],"$1,050,000",6,3,-,1500-2000,0-5 years,2-Storey,Full,2021,448000,2021,5118.89,104.99,30.18,711863481,Pine Ridge,ResidentialProperty,43.512139,-80.1764512
19 Allison Place ,"$849,900",['Sold on Oct 15 2021'],"$785,000",42,3,1,1100-1500,31-50 years,Bungalow-Raised,Apartment,-,-,2021,4056.26,95,50.98,-,West Willow Woods,ResidentialProperty,43.51629936,-80.27646282
19 Atto Drive ,"$774,900",['Sold on Jul 14 2021'],"$907,000",5,2,1,-,-,Bungalow,Finished,-,-,2021,4741,-,46,230803002,Grange Hill East,ResidentialProperty,43.5826931,-80.2586272
19 Celia Crescent ,"$799,999",['Sold on Oct 14 2021'],"$860,000",2,3,-,1100-1500,16-30 years,Backsplit 5,Full,2021,408000,2021,4662.17,125,49,712470386,Old University,ResidentialProperty,43.5264094,-80.2553493
19 Kimberley Drive ,"$819,900",['Sold on Oct 13 2021'],"$885,000",6,3,1,1100-1500,-,Sidesplit 3,Walk-Up,-,-,2021,4837,90,73.31,-,Exhibition Park,ResidentialProperty,43.5518667,-80.2748377
19 Malvern Crescent ,"$1,698,000",['Sold on Jul 30 2021'],"$1,650,000",25,4,1,3000-3500,51-99 years,2-Storey,Finished,2021,712000,2021,8135,319,75,711860012,Pine Ridge,ResidentialProperty,43.51372536,-80.19537243
19 Porter Drive ,"$989,900",['Sold on Sep 01 2021'],"$982,000",8,3,-,1500-2000,16-30 years,2-Storey,Finished,-,-,2021,5061.79,108,30,-,Pine Ridge,ResidentialProperty,43.50609528,-80.18878399
19 Thornhill Drive ,"$899,900",['Sold on May 17 2021'],"$1,039,900",5,3,-,2000-2500,31-50 years,2-Storey,Finished,-,-,2021,5715,196,55,-,West Willow Woods,ResidentialProperty,43.53390443,-80.29643719
19 Wilton Road ,"$974,900",['Sold on Aug 06 2021'],"$1,030,000",1,3,1,1500-2000,16-30 years,2-Storey,Full,-,-,2020,4993.2,131,36,-,Waverley,ResidentialProperty,43.57677117,-80.26919933
190 Severn Drive ,"$685,000",['Sold on Aug 04 2021'],"$807,000",7,3,-,1500-2000,6-15 years,2-Storey,Finished,2016,353000,2021,4033.41,110,29,713560677,Grange Hill East,ResidentialProperty,43.5775654,-80.2208664
192 Ambrous Crescent ,"$1,100,000",['Sold on Nov 12 2021'],"$1,370,000",9,3,-,2000-2500,0-5 years,2-Storey,Full,-,-,2021,6880,115,39,715051291,Clairfields,ResidentialProperty,43.5275391,-80.2013406
193 Dawn Avenue ,"$1,599,900",['Sold on Jun 28 2021'],"$1,615,000",10,4,1,2500-3000,16-30 years,2-Storey,Apartment,2021,686000,2021,7838.3,190,50,714921016,Clairfields,ResidentialProperty,43.504605,-80.195359
193 Liverpool Street ,"$549,900",['Sold on May 28 2021'],"$550,000",25,2,-,700-1100,100+ years,Bungalow,Crawl Space,-,-,2021,3379.75,59,38,-,Central West,ResidentialProperty,43.5433626,-80.261026
2 Blair Drive ,"$1,194,500",['Sold on Nov 15 2021'],"$1,251,000",3,4,1,3000-3500,-,2-Storey,Finished,2021,553000,2021,6318,-,52,711860948,Guelph South,ResidentialProperty,43.510384,-80.187743
2 Christopher Court ,"$750,000",['Sold on Sep 13 2021'],"$783,000",4,3,-,1100-1500,31-50 years,2-Storey,Finished,2021,310000,2021,3542.09,69,39,712210012,Hanlon Creek,ResidentialProperty,43.511667,-80.238394
2 Eliot Place ,"$529,900",['Sold on Sep 26 2021'],"$655,000",5,3,-,1100-1500,-,Bungalow,W/O,-,-,2021,3416.4,122.74,29.86,-,Grange Hill East,ResidentialProperty,43.5657613,-80.237878
2 Ervin Crescent ,"$699,900",['Sold on Sep 14 2021'],"$892,000",6,3,-,1100-1500,31-50 years,2-Storey,Finished,-,-,2021,4216.24,102.88,74.46,-,Kortright Hills,ResidentialProperty,43.511456,-80.232696
2 Forest Street South ,"$1,399,900",['Sold on Oct 05 2021'],"$1,600,000",5,2,3,3000-3500,51-99 years,Bungalow,Finished,-,-,2021,8135.38,99,101,230806000,Old University,ResidentialProperty,-,-
2 Whispering Ridge Drive ,"$699,900",['Sold on Dec 02 2021'],"$800,000",1,4,1,1100-1500,31-50 years,2-Storey,Apartment,-,-,2021,3587.79,-,47.93,712240031,Guelph South,ResidentialProperty,43.514713,-80.236311
20 Chartwell Crescent ,"$619,900",['Sold on Jul 13 2021'],"$720,000",4,2,2,-,31-50 years,Backsplit 4,Finished,-,-,2021,3325,111.99,38.09,-,Old University,ResidentialProperty,43.51471579,-80.25257114
20 Creekside Drive ,"$849,999",['Sold on Oct 25 2021'],"$855,000",4,3,-,1500-2000,6-15 years,Backsplit 3,Finished,2021,363000,2021,4147,-,44,-,Grange Hill East,ResidentialProperty,43.56931813,-80.21014709
20 Gladstone Avenue ,"$939,999",['Sold on Jul 09 2021'],"$940,000",7,4,-,1500-2000,51-99 years,Sidesplit 3,Full,-,-,2021,5393,-,56,-,Waverley,ResidentialProperty,43.56487926,-80.26129678
20 Glenbrook Drive ,"$829,900",['Sold on Oct 19 2021'],"$880,000",6,3,2,-,-,Bungalow-Raised,Apartment,-,-,2021,3736,110,54,-,Brant,ResidentialProperty,43.57556616,-80.26430833
20 Kingsley Court ,"$1,399,900",['Sold on Dec 05 2021'],"$1,450,000",3,5,-,3000-3500,51-99 years,2-Storey,Finished,2021,905000,2021,9988,-,68,713030094,Waverley,ResidentialProperty,43.57263761,-80.26238175
20 Laurine Avenue ,"$499,800",['Sold on Jun 28 2021'],"$480,000",4,1,-,< 700,51-99 years,Bungalow,Full,2021,201000,2021,2257,104,35,713240076,Central East,ResidentialProperty,43.55506783,-80.24201914
20 Leacock Avenue ,"$679,900",['Sold on Jun 16 2021'],"$670,000",12,3,-,-,-,2-Storey,Finished,-,-,2021,3290.71,100,30.48,-,Grange Hill East,ResidentialProperty,43.56349345,-80.23237891
20 Zecca Drive ,"$849,900",['Sold on Jul 05 2021'],"$865,000",12,3,-,1500-2000,16-30 years,2-Storey,Unfinished,-,-,2021,4673.27,109.91,39.37,-,Pine Ridge,ResidentialProperty,43.51933493,-80.18941091
204 College Avenue West ,"$699,900",['Sold on Jun 01 2021'],"$693,000",22,6,-,2500-3000,-,2-Storey,Unfinished,-,-,2020,5334,120,112,-,Old University,ResidentialProperty,43.523435,-80.244128
206 Ironwood Road ,"$799,900",['Sold on May 10 2021'],"$955,000",5,3,-,1500-2000,-,Sidesplit 4,Finished,-,-,2020,4500,110,58.96,-,Hanlon Creek,ResidentialProperty,43.51158085,-80.23488901
209 Elmira Road South ,"$750,000",['Sold on Oct 21 2021'],"$850,000",2,3,1,1500-2000,16-30 years,2-Storey,Full,-,-,2021,4216,109.91,50.52,-,West Willow Woods,ResidentialProperty,43.52047566,-80.28642774
21 Buckthorn Crescent ,"$769,900",['Sold on Jul 21 2021'],"$772,000",6,2,1,-,16-30 years,Backsplit 3,Finished,2021,354000,2021,4040.84,-,45.14,-,Grange Hill East,ResidentialProperty,43.56950491,-80.22362821
21 Grey Oak Drive ,"$999,900",['Sold on Sep 21 2021'],"$1,210,000",7,3,-,1500-2000,16-30 years,2-Storey,Finished,2021,493000,2021,5633.06,104.99,45.77,711861128,Pine Ridge,ResidentialProperty,43.51642651,-80.18641549
21 Law Drive ,"$799,000",['Sold on Nov 15 2021'],"$983,000",2,3,1,1500-2000,16-30 years,2-Storey,Finished,-,-,2021,4101.99,116.2,32.7,-,Grange Hill East,ResidentialProperty,43.56771065,-80.21881117
21 Melrose Place ,"$899,900",['Sold on Jul 07 2021'],"$1,066,000",2,4,1,1500-2000,16-30 years,2-Storey,Finished,2021,456000,2020,5120.16,113,38.55,712580436,West Willow Woods,ResidentialProperty,43.52649217,-80.27139593
21 Morris Street ,"$747,000",['Sold on May 14 2021'],"$725,000",24,3,-,1100-1500,31-50 years,2-Storey,Finished,2021,313000,2021,3515,168,35,-,Central East,ResidentialProperty,43.55077697,-80.2363501
21 Munroe Crescent ,"$849,900",['Sold on Sep 11 2021'],"$925,000",2,3,1,1500-2000,16-30 years,Backsplit 3,Finished,2021,444000,2021,5073.18,104.99,40.35,714920637,Clairfields,ResidentialProperty,43.49998386,-80.19348505
21 Parker Place ,"$849,900",['Sold on Nov 13 2021'],"$922,000",2,3,-,-,16-30 years,2-Storey,Finished,-,-,2021,4342,138,43,713580748,Waverley,ResidentialProperty,43.57707938,-80.26567482
210 College Avenue East ,"$1,299,900",['Sold on Aug 30 2021'],"$1,320,000",6,3,3,2000-2500,51-99 years,Bungalow,Finished,2021,794000,2021,9072,209,70,-,Old University,ResidentialProperty,43.53755181,-80.22551344
210 Goodwin Drive ,"$999,000",['Sold on Dec 07 2021'],"$1,110,000",5,3,1,2000-2500,6-15 years,2-Storey,Finished,2021,457000,2021,5221.72,117.26,37.73,711862803,Pine Ridge,ResidentialProperty,43.51384812,-80.17550456
211 Country Club Drive ,"$799,900",['Sold on Sep 17 2021'],"$870,000",3,3,-,1500-2000,16-30 years,2-Storey,Finished,-,-,2021,4101,137,36,-,Waverley,ResidentialProperty,43.57732623,-80.26681425
217 Fleming Road ,"$1,199,900",['Sold on Nov 16 2021'],"$1,301,000",6,4,-,2000-2500,0-5 years,2-Storey,Unfinished,2021,515000,2021,5984.48,115,31,713561087,Grange Hill East,ResidentialProperty,43.5725142,-80.211146
218 Summerfield Drive ,"$999,900",['Sold on Jun 08 2021'],"$1,245,000",7,3,1,2000-2500,6-15 years,2-Storey,Finished,-,-,2020,7392,104.32,41.01,711860550,Pine Ridge,ResidentialProperty,43.5186554,-80.1819115
219 Dufferin Street ,"$689,000",['Sold on Oct 21 2021'],"$857,000",3,3,-,-,-,1 1/2 Storey,Full,-,-,2021,4715.94,129.25,37.99,71310008,Exhibition Park,ResidentialProperty,43.55757333,-80.2647022
219 Elmira Road South ,"$899,000",['Sold on Nov 09 2021'],"$1,150,000",1,4,1,-,-,2-Storey,Finished,-,-,2021,5140,109.91,50.52,712540010,West Willow Woods,ResidentialProperty,43.5199023,-80.2849716
219 Summit Ridge Drive ,"$989,000",['Sold on Nov 17 2021'],"$1,250,000",6,3,-,2000-2500,6-15 years,2-Storey,Finished,-,-,2021,5655.91,-,38.66,713490315,Grange Hill East,ResidentialProperty,43.571571,-80.235725
22 Atto Drive ,"$874,900",['Sold on Jul 31 2021'],"$950,000",2,3,1,2000-2500,6-15 years,2-Storey,Finished,2021,517000,2020,5846.28,114.86,39.37,713570369,Brant,ResidentialProperty,43.581119,-80.2566487
22 Buckthorn Crescent ,"$899,900",['Sold on Jun 03 2021'],"$900,000",8,3,-,2500-3000,16-30 years,Bungaloft,Fin W/O,-,-,2021,5815.88,137,33,-,Grange Hill East,ResidentialProperty,43.56933318,-80.22373554
22 Chad Place ,"$579,300",['Sold on Jun 01 2021'],"$653,000",5,4,-,1500-2000,31-50 years,2-Storey,Full,2021,404,2021,4516.28,113.75,39.97,712650024,West Willow Woods,ResidentialProperty,43.53868075,-80.28742048
22 Young Street ,"$1,195,000",['Sold on Jun 29 2021'],"$1,331,000",5,4,1,2500-3000,0-5 years,2-Storey,Finished,2021,738000,2021,8432,109.84,44.06,-,Old University,ResidentialProperty,43.5277475,-80.2441274
221 Arthur Street North ,"$464,900",['Sold on Sep 08 2021'],"$851,000",12,2,-,700-1100,100+ years,1 1/2 Storey,Crawl Space,-,-,2020,3559.41,128,70,-,Waverley,ResidentialProperty,43.5517471,-80.2530025
222 Carrington Drive ,"$899,900",['Sold on Oct 18 2021'],"$975,000",5,3,-,1100-1500,-,2-Storey,Full,-,-,2021,4970.35,104.99,30.18,-,Hanlon Creek,ResidentialProperty,43.51519862,-80.21064775
226 Paisley Street ,"$699,000",['Sold on Jun 09 2021'],"$692,500",8,3,1,1100-1500,51-99 years,1 1/2 Storey,Full,2021,392000,2021,4401,-,42.47,-,Two Rivers,ResidentialProperty,43.54109705,-80.26109566
228 Liverpool Street ,"$759,500",['Sold on May 17 2021'],"$750,000",3,3,-,1500-2000,51-99 years,2-Storey,Full,-,-,2020,4828.88,121.44,44.48,-,Central West,ResidentialProperty,43.54250481,-80.26231335
23 Beaver Meadow Drive ,"$949,900",['Sold on Jul 02 2021'],"$977,500",15,3,1,1500-2000,16-30 years,2-Storey,Fin W/O,-,-,2020,5735.27,112,36,-,Pine Ridge,ResidentialProperty,43.50991377,-80.18752459
23 Devere Drive ,"$745,600",['Sold on Jun 28 2021'],"$830,000",3,3,1,1100-1500,-,Bungalow,Finished,-,-,2021,5347,140,55.02,-,Old University,ResidentialProperty,43.51573697,-80.2520272
23 Doyle Drive ,"$799,900",['Sold on May 11 2021'],"$809,000",29,2,-,1100-1500,16-30 years,Bungalow,Finished,-,-,2021,4135,106,46,-,Clairfields,ResidentialProperty,43.4993243,-80.1919704
23 Eliot Place ,"$529,900",['Sold on Sep 04 2021'],"$641,250",7,3,-,700-1100,31-50 years,Bungalow,Full,-,-,2021,3260,100.61,21.7,-,Grange Hill East,ResidentialProperty,43.5660204,-80.23821329
23 Mullin Drive ,"$799,000",['Sold on Jun 02 2021'],"$780,000",16,3,-,1500-2000,6-15 years,2-Storey,Finished,-,-,2021,2066.03,114.83,29.53,-,Brant,ResidentialProperty,43.5813532,-80.2597909
230 Alma Street North ,"$675,000",['Sold on Jul 21 2021'],"$702,000",7,3,-,-,51-99 years,Bungalow,Finished,-,-,2021,3496,100,53,-,Onward Willow,ResidentialProperty,43.54220735,-80.27162248
231 Goodwin Drive ,"$929,900",['Sold on Jun 11 2021'],"$1,010,000",1,4,-,1500-2000,-,2-Storey,Finished,2016,465000,2021,5256,105.73,33.94,-,Pine Ridge,ResidentialProperty,43.51275,-80.175557
236 Summerfield Drive ,"$1,149,900",['Sold on Jul 14 2021'],"$1,200,000",14,3,1,2000-2500,16-30 years,2-Storey,Finished,-,-,2021,6284.35,105,40,-,Pine Ridge,ResidentialProperty,43.51880718,-80.18170882
24 Bennett Avenue ,"$799,900",['Sold on Jun 01 2021'],"$760,000",19,4,-,1100-1500,51-99 years,2-Storey,Finished,-,-,2021,3717,102,51,-,Two Rivers,ResidentialProperty,43.55745182,-80.24578296
24 Cadillac Drive ,"$799,900",['Sold on May 22 2021'],"$775,000",8,3,1,700-1100,51-99 years,Bungalow,Finished,-,-,2020,4938,100,67,713250017,Two Rivers,ResidentialProperty,43.55797698,-80.246506
24 Glenbrook Drive ,"$729,000",['Sold on Jun 28 2021'],"$900,000",5,3,1,-,31-50 years,Bungalow-Raised,Finished,2021,343000,2020,3851,110,55.09,713580596,Waverley,ResidentialProperty,43.57536457,-80.26460143
24 Ridgewood Avenue ,"$710,000",['Sold on Jun 12 2021'],"$700,000",3,3,-,700-1100,-,Bungalow,Fin W/O,2021,318000,2021,3633.5,143,42,-,Onward Willow,ResidentialProperty,43.5373519,-80.2708187
24 Valleyhaven Lane ,"$799,900",['Sold on Sep 07 2021'],"$851,500",5,3,1,1500-2000,6-15 years,Backsplit 4,Full,-,-,2021,3793.46,115,31.17,-,Grange Hill East,ResidentialProperty,43.55964433,-80.22044337
240 Dublin Street North ,"$1,525,000",['Sold on Oct 04 2021'],"$1,360,000",32,5,-,-,-,3-Storey,Full,-,-,2021,6352.91,138,60,-,Exhibition Park,ResidentialProperty,43.548258,-80.257945
240 Summerfield Drive ,"$1,200,000",['Sold on Sep 01 2021'],"$1,175,000",33,4,-,2000-2500,16-30 years,2-Storey,Fin W/O,2021,514000,2021,5873.01,105,46,711860539,Pine Ridge,ResidentialProperty,43.5156042,-80.1859542
