ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,BDRMS+,SIZE_SQFT,AGE,STYLE,BSMT,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,PARCEL_NO,COMMUNITY,TYPE,LAT,LON
9 Uplands Place ,"$639,900",['Sold on Jul 22 2021'],"$700,500",6,3,1,1100-1500,31-50 years,Bungalow-Raised,Finished,2021,335000,2021,3828,110,49,713520072,Waverley,ResidentialProperty,43.57657075,-80.2482715
90 Kortright Road ,"$1,065,000",['Sold on Oct 26 2021'],"$1,185,000",7,2,3,-,-,Bungalow,Apartment,-,-,2021,6204.37,130,58,715050502,Kortright Hills,ResidentialProperty,43.522031,-80.2126236
90 Vancouver Drive ,"$695,000",['Sold on Aug 23 2021'],"$777,778",5,4,-,1100-1500,51-99 years,Bungalow,Finished,2021,330000,2021,3770.61,60,119,713290031,Two Rivers,ResidentialProperty,43.563709,-80.242377
91 Starview Crescent ,"$749,000",['Sold on Jul 22 2021'],"$825,000",7,3,1,-,-,2-Storey,Finished,-,-,2021,4239.08,126,31,714930408,Grange Hill East,ResidentialProperty,43.5667951,-80.22712952
92 Downey Road ,"$1,199,999",['Sold on Aug 21 2021'],"$1,225,000",5,3,1,2000-2500,-,2-Storey,Finished,2021,582000,2021,6649,-,65,712180060,Kortright Hills,ResidentialProperty,43.5009871,-80.23827432
93 Steffler Drive ,"$549,900",['Sold on Aug 20 2021'],"$630,000",4,3,-,1100-1500,31-50 years,2-Storey,Finished,-,-,2021,4319,108,49.8,-,Hanlon Creek,ResidentialProperty,43.51024992,-80.23649551
93 Teal Drive ,"$898,000",['Sold on Aug 19 2021'],"$898,000",14,3,-,1500-2000,16-30 years,Backsplit 5,Finished,2016,430000,2021,4913.22,131.46,32.81,712190276,Kortright Hills,ResidentialProperty,43.49764541,-80.22726588
94 Thornhill Drive ,"$1,149,900",['Sold on Aug 11 2021'],"$1,060,000",34,3,-,1500-2000,-,Bungalow,Finished,-,-,2021,5655.91,114.79,73.66,-,West Willow Woods,ResidentialProperty,43.5311344,-80.3013826
96 Cedarvale Avenue ,"$739,000",['Sold on Jul 11 2021'],"$800,000",11,3,-,-,-,2-Storey,Finished,-,-,2021,4000,102.69,30.63,-,Grange Hill East,ResidentialProperty,43.56016906,-80.2223937
96 Grove Street ,"$1,149,900",['Sold on May 28 2021'],"$1,150,000",7,4,-,1500-2000,-,2-Storey,Unfinished,-,-,2021,4787.53,127,67,-,Two Rivers,ResidentialProperty,43.5505445,-80.2406319
96 Harris Street ,"$899,900",['Sold on Nov 17 2021'],"$885,000",61,3,1,1100-1500,100+ years,2-Storey,Half,2020,341000,2020,3829,110,50,713410099,Two Rivers,ResidentialProperty,43.54825375,-80.23094528
97 College Avenue West ,"$899,900",['Sold on May 05 2021'],"$900,000",7,4,2,1500-2000,-,Bungalow,Finished,2021,534000,2021,5995.97,106,90,712430067,Old University,ResidentialProperty,43.526971,-80.239868
97 Grange Street ,"$879,900",['Sold on Jul 14 2021'],"$830,000",21,3,-,2000-2500,100+ years,2 1/2 Storey,Full,-,-,2021,4433,152.71,48.33,-,Two Rivers,ResidentialProperty,43.55290463,-80.24015933
98 Southcreek Trail ,"$824,000",['Sold on May 26 2021'],"$834,000",6,3,1,-,16-30 years,2-Storey,Finished,-,-,2020,4469,-,38.99,714900750,Kortright Hills,ResidentialProperty,43.51101454,-80.21534303
99 Kortright Road West ,"$699,000",['Sold on Jul 20 2021'],"$803,600",8,3,2,-,-,Bungalow,Apartment,-,-,2021,3999.13,120,50,-,Kortright Hills,ResidentialProperty,43.51752928,-80.21619633
99 Maple Street ,"$1,089,900",['Sold on Nov 05 2021'],"$1,060,000",11,3,1,-,51-99 years,1 1/2 Storey,Finished,2021,530000,2021,6055.83,150,60,-,Old University,ResidentialProperty,43.5324836,-80.2444449
