ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,BDRMS+,SIZE_SQFT,AGE,STYLE,BSMT,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,PARCEL_NO,COMMUNITY,TYPE,LAT,LON
43 SINCLAIR STREET,749900,04-Oct-21,863000,4,3,,1100,30,2-Storey,Finished,,,2021,4010.56,108,30,-,Pine Ridge,ResidentialProperty,43.50492742,-80.18395964
44 KIPLING AVENUE,849000,16-Jun-21,999999,6,4,,1500,50,2-Storey,Finished,2021,488000,2021,5994.68,112,50,712670060,West Willow Woods,ResidentialProperty,43.53168211,-80.29846294
44 PINE RIDGE DRIVE,999900,03-May-21,1195000,6,3,1,2000,30,2-Storey,Fin W/O,2021,583000,2020,6546.17,108,68.8,711860254,Pine Ridge,ResidentialProperty,43.51291873,-80.19060317
45 DRONE CRESCENT,989900,20-Oct-21,1121900,6,4,,2000,5,2-Storey,Finished,2021,459000,2021,5244.58,114,32.41,714860934,West Willow Woods,ResidentialProperty,43.52103455,-80.30665541
45 GREY OAK DRIVE,1250000,06-May-21,1225000,14,4,1,,,2-Storey,Fin W/O,,,2021,6939.34,105,40,-,Pine Ridge,ResidentialProperty,43.5174389,-80.1849942
45 HOLLAND CRESCENT,1219000,06-Jul-21,1200000,13,4,,2000,15,2-Storey,Finished,2021,604000,2021,6901.35,106,45,711862152,Pine Ridge,ResidentialProperty,43.51608912,-80.18969554
45 IRVING CRESCENT,1350000,03-Jun-21,1305000,16,5,3,3000,,2-Storey,Finished,,,2020,8892.21,110.31,47.88,-,Clairfields,ResidentialProperty,43.502338,-80.198065
45 SINCLAIR STREET,749900,01-Jun-21,871000,5,3,,1100,30,2-Storey,Finished,,,2021,4353.3,104,30,-,Pine Ridge,ResidentialProperty,43.50484246,-80.18384037
46 DARLING CRESCENT,659900,03-May-21,805000,4,3,,1100,,2-Storey,Finished,,,2020,3983.41,107,23,-,Pine Ridge,ResidentialProperty,43.50513472,-80.18819601
46 DEERPATH DRIVE,789900,18-Nov-21,898000,2,3,,1500,30,2-Storey,Finished,2021,407000,2021,4650.42,,39,-,West Willow Woods,ResidentialProperty,43.52597324,-80.27667265
