ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,BDRMS+,SIZE_SQFT,AGE,STYLE,BSMT,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,PARCEL_NO,COMMUNITY,TYPE,LAT,LON
68 THORNHILL DRIVE,739900,25-May-21,925000,6,4,,,,Bungalow-Raised,Finished,,,2020,3795.2,61.43,57.68,-,West Willow Woods,ResidentialProperty,43.532745,-80.3005174
68 UPTON CRESCENT,609900,07-Sep-21,675000,7,3,,1100,50,2-Storey,Finished,,,2021,3016.49,102,28,713450197,Grange Hill East,ResidentialProperty,43.5618818,-80.2305499
680 ERAMOSA ROAD,649999,29-Apr-21,700000,7,3,2,1500,,2-Storey,Finished,,,2020,3552.75,,75,713500053,Brant,ResidentialProperty,43.574001,-80.247144
69 CAMBRIDGE STREET,799900,12-May-21,915069,6,3,,1100,100,2-Storey,Full,2021,336000,2021,3772.75,75,19.51,712880046,Exhibition Park,ResidentialProperty,43.5421439,-80.2575273
69 REVELL DRIVE,849900,15-May-21,1000000,2,3,,,,Other,Unfinished,,,2021,5176,105,45,-,Guelph South,ResidentialProperty,43.50946354,-80.19746572
7 ALGOMA DRIVE,729900,14-Sep-21,850000,5,3,1,1100,99,Bungalow-Raised,Fin W/O,2021,363000,2021,4124.8,104,79.33,713530070,Waverley,ResidentialProperty,43.57750012,-80.2548617
7 ALLISON PLACE,829900,02-Dec-21,800000,15,3,,1100,50,Sidesplit 4,Part Fin,2021,347000,2021,3964.85,,71,712560137,Parkwood Gardens,ResidentialProperty,43.51615651,-80.27571546
7 BAGOT STREET,699900,24-Aug-21,725000,7,2,3,700,50,Bungalow,Full,,,2021,3747.76,66,66,-,Onward Willow,ResidentialProperty,43.5398665,-80.2646274
7 GLEBEHOLME CRESCENT,875000,18-Sep-21,867500,2,4,,1100,99,2-Storey,Full,2021,412000,2021,4707.55,114,68.64,712940026,Exhibition Park,ResidentialProperty,43.55191857,-80.2749852
7 HARTS LANE EAST,999900,05-May-21,1025000,9,4,,1500,30,2-Storey,Finished,2021,573000,2021,7005,170,59,715050334,Guelph South,ResidentialProperty,43.5197953,-80.20638793
7 HOLLYBERRY PLACE,899900,19-Jun-21,1075000,2,3,1,1500,50,Sidesplit 3,Finished,2021,468000,2020,5254.9,133,71.36,712540611,Onward Willow,ResidentialProperty,43.52203077,-80.28157624
7 PEARTREE CRESCENT,880000,05-Nov-21,875000,16,3,1,,,Bungalow,Finished,,,2021,3717.02,114.83,49.21,-,West Willow Woods,ResidentialProperty,43.53034731,-80.30010143
7 SHIRLEY AVENUE,799900,28-Jun-21,785000,17,2,1,1100,99,Bungalow,Finished,2021,348000,2020,3907.49,90,54.99,713250052,Central East,ResidentialProperty,43.55791377,-80.24561573
7 SOUTHCREEK TRAIL,749900,04-Oct-21,785000,5,3,,700,50,2-Storey,Finished,2021,322000,2021,3679.2,132,41,714900422,Kortright Hills,ResidentialProperty,43.51113725,-80.2164922
7 STANLEY STREET,1199900,27-Nov-21,1200000,2,3,1,2000,5,2-Storey,Finished,2021,448000,2021,5118.89,91,32.5,712970413,Exhibition Park,ResidentialProperty,43.5555819,-80.26986504
7 ZECCA DRIVE,1125000,19-Aug-21,1210000,8,4,,2000,,2-Storey,Finished,2021,523000,2021,6166,101,40,71186202,Guelph South,ResidentialProperty,43.5191009,-80.18941797
70 COLE ROAD,699900,13-Sep-21,750000,6,3,1,1100,50,2-Storey,Apartment,,,2021,4284.78,137.57,24.38,-,Hanlon Creek,ResidentialProperty,43.51530781,-80.23375567
70 KENSINGTON STREET,774900,01-Dec-21,1000000,7,3,1,1100,99,Bungalow,Full,,,2021,4147.67,110,70,713070018,Waverley,ResidentialProperty,43.56904313,-80.26276613
70 VICTORIA ROAD NORTH,599900,27-Oct-21,800000,5,3,,1100,99,Bungalow,Full,2021,322000,2021,3679,103,50,713310203,Central East,ResidentialProperty,43.55988748,-80.2352443
70 WILKIE CRESCENT,849000,16-Jul-21,920500,6,3,1,2500,15,2-Storey,Finished,2021,452000,2021,5164.59,110,30,711862679,Pine Ridge,ResidentialProperty,43.50906461,-80.17931118
70 YORK ROAD,699900,23-Apr-21,685000,30,3,1,1500,99,1 1/2 Storey,Part Bsmt,,,2020,4370,110,49,-,Two Rivers,ResidentialProperty,43.54151426,-80.24022592
72 BALMORAL DRIVE,799900,04-May-21,972000,6,3,,1100,99,Sidesplit 4,Finished,2021,399000,2020,4480.14,113.33,55,713040052,Waverley,ResidentialProperty,43.57483027,-80.25998121
73 PORTER COURT,999500,25-May-21,1090000,6,5,,3000,30,Bungalow,Finished,,,2020,5299.81,108,55,-,Clairfields,ResidentialProperty,43.507398,-80.190427
73 SOUTHCREEK TRAIL,879900,09-Sep-21,845000,64,1,2,,,Bungalow,Fin W/O,,,2020,4322.58,144.36,32.81,714900768,Kortright Hills,ResidentialProperty,43.50985033,-80.21624487
731 SCOTTSDALE DRIVE,684900,26-May-21,785000,9,3,3,,,2-Storey,Fin W/O,,,2020,4135.88,105,51.98,-,Hanlon Creek,ResidentialProperty,43.512785,-80.234311
74 MARSH CRESCENT,1050000,09-Aug-21,1150000,5,3,1,1500,30,2-Storey,Fin W/O,,,2021,5644,103,33,-,Pine Ridge,ResidentialProperty,43.5189629,-80.18294544
74 MARSHALL DRIVE,1200000,07-May-21,1125000,11,4,,2000,15,2-Storey,Full,,,2020,5625.44,115.28,41.54,-,Grange Hill East,ResidentialProperty,43.57254392,-80.20979592
74 RAGLAN STREET,745000,22-Nov-21,730000,4,3,,1100,100,1 1/2 Storey,Full,2021,333000,2021,3804.89,100,35,712790032,Onward Willow,ResidentialProperty,43.5385867,-80.26448896
747 SCOTTSDALE DRIVE,747500,25-Jul-21,716000,12,3,3,,,Bungalow,Finished,,,2021,3964.85,105,50.98,-,Kortright Hills,ResidentialProperty,43.5123272,-80.23256647
75 ALMA STREET SOUTH,599000,15-Jun-21,600000,7,2,,700,99,Bungalow,Part Fin,2021,303000,2020,3402,100,50,71280005,Onward Willow,ResidentialProperty,43.53417405,-80.26013808
75 CEDAR STREET,799900,24-Jun-21,880000,6,3,3,700,99,Bungalow,Finished,2021,333000,2021,3739.06,91,52.07,712470174,Old University,ResidentialProperty,43.53035564,-80.25184479
75 JOHNSTON STREET,575000,22-Jun-21,575000,13,2,,700,99,1 1/2 Storey,Part Fin,2021,291000,2020,3267,110,37.5,713410107,Two Rivers,ResidentialProperty,43.5490567,-80.2309044
75 REVELL DRIVE,849900,01-Jun-21,849900,15,3,,1100,15,2-Storey,Full,,,2020,4513.31,106,40.03,230806000,Clairfields,ResidentialProperty,43.50904887,-80.19753186
76 CASSINO AVENUE,725000,16-Jun-21,725000,1,2,1,700,50,Bungalow,Finished,2021,303000,2021,3402.21,135,50,230802001,Grange Hill East,ResidentialProperty,43.56036591,-80.23766167
77 IMPERIAL ROAD NORTH,789000,11-Oct-21,750000,13,3,1,1500,50,2-Storey,Finished,,,2021,4021,109.86,58.57,-,West Willow Woods,ResidentialProperty,43.5317425,-80.2940418
77 MCELDERRY ROAD,850000,13-Jul-21,955000,6,3,,1500,50,Sidesplit 3,Full,,,2020,5500,114.83,54.95,-,Hanlon Creek,ResidentialProperty,43.515554,-80.22139
77 NORMA CRESCENT,1549000,06-Oct-21,1700000,7,4,2,,,2-Storey,Apartment,,,2021,6761.47,166.79,41.99,-,Brant,ResidentialProperty,43.58346759,-80.2588316
77 THORNHILL DRIVE,899900,06-Jun-21,1077000,4,3,1,1500,50,2-Storey,Finished,2021,461000,2020,5176.3,155,47.83,712670042,West Willow Woods,ResidentialProperty,43.5327504,-80.3008789
78 AMSTERDAM CRESCENT,1274900,06-Dec-21,1550000,7,4,,3500,15,2-Storey,Apartment,,,2021,8204,105,37,711863036,Two Rivers,ResidentialProperty,43.51794242,-80.19149986
78 DEVERE DRIVE,769000,02-May-21,707500,224,3,,1100,,Backsplit 4,Finished,,,2020,4031,60,110,-,College,ResidentialProperty,43.512949,-80.247933
79 DUKE STREET,629900,22-Jul-21,620000,47,3,,1100,,2-Storey,Unfinished,,,2021,3154.96,132.58,31.04,-,Two Rivers,ResidentialProperty,43.54605169,-80.23935957
79 KORTRIGHT ROAD,729900,13-Oct-21,833000,7,3,,,,2-Storey,Full,2021,422000,2021,4821.81,,54.63,712300007,Kortright Hills,ResidentialProperty,43.522031,-80.2126236
79 PORTER COURT,991889,29-Jun-21,1080000,5,3,,,,2-Storey,Finished,,,2021,5919,108.27,36.09,-,Pine Ridge,ResidentialProperty,43.50717713,-80.19012925
8 BLACKBIRD CRESCENT,675000,17-Jun-21,728000,10,3,1,,,Bungalow,Apartment,,,2021,4159.1,102,45.01,-,Brant,ResidentialProperty,43.58034483,-80.25850293
8 FERGUS STREET,699900,10-Aug-21,700000,6,2,,1100,,Bungalow,Crawl Space,,,2021,3142,66,65,-,Exhibition Park,ResidentialProperty,43.5379028,-80.2562801
8 MARLBOROUGH ROAD,575000,06-Oct-21,685000,,3,1,700,99,Bungalow,Finished,,,2021,3930.57,104,66.01,-,Exhibition Park,ResidentialProperty,43.559033,-80.26165438
8 SHELBY PLACE,999900,03-Jun-21,1230000,2,4,,2000,30,2-Storey,Finished,,,2020,6009.75,,37.76,712580316,West Willow Woods,ResidentialProperty,43.5252222,-80.2705653
8 SOUTHAMPTON STREET,749900,13-Oct-21,832000,6,3,,1100,,1 1/2 Storey,Full,,,2021,4330,74,35.24,-,Central West,ResidentialProperty,43.54000746,-80.26054605
80 LIVERPOOL STREET,1199900,18-May-21,1325000,8,5,,3500,100,2 1/2 Storey,Full,2021,583000,2020,6344,106,33,712910085,Exhibition Park,ResidentialProperty,43.54533189,-80.25677725
80 LYNCH CIRCLE,749000,23-May-21,815000,6,3,,1100,30,2-Storey,Finished,,,2020,4646,108.27,30.18,-,Pine Ridge,ResidentialProperty,43.50664871,-80.1845926
80 MARLBOROUGH ROAD,799900,15-Jun-21,950275,5,2,,700,,Bungalow,Finished,2021,,2021,4200,,75,-,Two Rivers,ResidentialProperty,43.56283325,-80.26628153
81 MARSHALL DRIVE,1149000,01-Jul-21,1115000,22,4,,2000,15,2-Storey,Finished,,,2021,5713.05,117.7,49.43,-,Grange Hill East,ResidentialProperty,43.5720108,-80.20940855
82 ALMA STREET SOUTH,549900,20-Jul-21,580000,6,2,,700,99,Bungalow,Full,2021,283000,2021,3233.58,100,45,712800088,Onward Willow,ResidentialProperty,43.5342884,-80.2599531
82 MCARTHUR DRIVE,899000,23-Apr-21,970000,11,3,1,1500,,2-Storey,Finished,,,2020,5277.36,109.84,36,-,Pine Ridge,ResidentialProperty,43.50768754,-80.1817535
82 RHONDA ROAD,749900,21-Jul-21,745000,,3,1,1100,50,Bungalow-Raised,Finished,2021,342000,2021,3806.16,126.3,64.01,712610021,West Willow Woods,ResidentialProperty,43.5344592,-80.2828506
83 CEDAR STREET,699900,19-Jul-21,700000,12,3,,700,99,Sidesplit 3,Finished,,,2021,3919.14,64.62,71,712470171,Old University,ResidentialProperty,43.52993905,-80.25249514
83 WINSTON CRESCENT,540000,17-Aug-21,620000,4,2,,700,99,1 1/2 Storey,Full,,,2020,2919,111,50,713240051,Grange Hill East,ResidentialProperty,43.55591497,-80.24429742
85 ESSEX STREET,599000,12-Oct-21,778000,6,3,,,,1 1/2 Storey,Full,,,2021,3942,135,31,-,Central West,ResidentialProperty,43.53960281,-80.25021311
86 MARSHALL DRIVE,1250000,13-Jun-21,1235000,18,4,2,2000,15,2-Storey,Finished,,,2021,5737.72,113,42,-,Grange Hill East,ResidentialProperty,43.57203465,-80.20904605
86 MOUNTFORD DRIVE,699900,21-Oct-21,800000,8,3,1,,50,Bungalow,Finished,2021,326000,2021,3800,,54,713470029,Grange Hill East,ResidentialProperty,43.566526,-80.237663
86 UPTON CRESCENT,549900,21-Jun-21,650860,6,3,,700,50,2-Storey,Finished,,,2021,3210.73,100,35,-,Grange Hill East,ResidentialProperty,43.5618818,-80.2305499
87 ALMA STREET SOUTH,689900,20-Sep-21,852700,7,3,1,700,99,Bungalow,Finished,2021,329000,2021,3759,100,40,712800049,Onward Willow,ResidentialProperty,43.5338537,-80.2596799
87 FLEMING ROAD,749999,06-May-21,725000,10,3,,,,2-Storey,Finished,,,2020,3840,121,30,-,Grange Hill East,ResidentialProperty,43.56913257,-80.21529955
87 MEMORIAL CRESCENT,584900,21-Aug-21,590000,5,2,,,,Bungalow,Crawl Space,,,2021,2324.28,105.66,50,712780060,Central West,ResidentialProperty,43.53489946,-80.26765391
87 PHEASANT RUN DRIVE,799900,18-May-21,990000,5,3,1,1500,30,2-Storey,Finished,,,2020,4581.19,,79.73,712150095,Kortright Hills,ResidentialProperty,43.49549968,-80.24146344
882 PAISLEY ROAD,895000,20-May-21,947500,5,4,2,1500,30,Backsplit 3,Finished,,,2020,3550.32,110,40,712590260,West Willow Woods,ResidentialProperty,43.52692895,-80.28409145
884 PAISLEY ROAD,899000,15-Aug-21,1001000,,4,2,,,2-Storey,Apartment,,,2021,4799,109.91,39.7,-,West Willow Woods,ResidentialProperty,43.52687815,-80.28421666
9 CAROLYN COURT,987500,23-Aug-21,987000,6,3,2,1500,50,Bungalow-Raised,Part Fin,2021,477000,2021,5450.25,,54,712650180,West Willow Woods,ResidentialProperty,43.53918884,-80.28886594
9 DARLING CRESCENT,879000,06-Jun-21,878000,11,3,,1500,,2-Storey,Part Fin,,,2021,4900,108.27,30.18,-,Pine Ridge,ResidentialProperty,43.50420699,-80.1873959
9 DUCK LANE,1200000,18-Sep-21,1240000,2,3,2,2000,15,2-Storey,Apartment,,,2021,6193,109,36,-,Guelph South,ResidentialProperty,43.51106122,-80.17928438
9 FORSTER DRIVE,1224900,28-Sep-21,1342000,8,4,,2500,50,2-Storey,Full,2021,642000,2021,7335.55,131,59,-,Village,ResidentialProperty,43.52558833,-80.21036333
9 HALES CRESCENT,1050000,23-Jul-21,1060000,22,3,3,1500,,Bungalow,Finished,,,2021,6204.37,,57.72,712410110,Old University,ResidentialProperty,43.53210697,-80.2345863
9 HOLLYBERRY PLACE,750000,08-Aug-21,750000,5,3,,1500,50,Sidesplit 3,Full,2021,401000,2020,4502.6,133,40.81,712540610,West Willow Woods,ResidentialProperty,43.52196823,-80.28160786
9 JODI PLACE,859900,13-Oct-21,983000,7,3,,1500,50,Bungalow,Finished,2021,451000,2021,6337.59,,38,712620134,West Willow Woods,ResidentialProperty,43.5299249,-80.28698399
9 LONSDALE DRIVE,749900,16-Sep-21,810000,7,3,,,99,Sidesplit 3,Finished,2021,322000,2021,3615.5,100,56,712950146,June Avenue,ResidentialProperty,43.55316271,-80.2782292
9 NEWSTEAD STREET,749000,19-Oct-21,851000,6,3,,1100,99,Bungalow-Raised,Full,2021,391000,2021,4476.6,89.5,94.75,713500064,Brant,ResidentialProperty,43.57129874,-80.24808717
9 O'CONNOR LANE,750000,23-Aug-21,827000,6,3,,1100,30,2-Storey,Finished,2021,380000,2021,4341.91,116,32.82,714930864,Grange Hill East,ResidentialProperty,43.56799278,-80.21815438
9 PINETREE DRIVE,824900,23-Jun-21,820000,19,3,2,,,Bungalow-Raised,Apartment,2021,365000,2020,4098,,101,712540633,West Willow Woods,ResidentialProperty,43.52474855,-80.283433
9 SILVERSMITH COURT,850000,21-May-21,850000,8,3,1,,,2-Storey,Finished,,,2021,4200,,34.06,-,Hanlon Creek,ResidentialProperty,43.5109528,-80.2085202
9 UPLANDS PLACE,639900,22-Jul-21,700500,6,3,1,1100,50,Bungalow-Raised,Finished,2021,335000,2021,3828,110,49,713520072,Waverley,ResidentialProperty,43.57657075,-80.2482715
90 KORTRIGHT ROAD,1065000,26-Oct-21,1185000,7,2,3,,,Bungalow,Apartment,,,2021,6204.37,130,58,715050502,Kortright Hills,ResidentialProperty,43.522031,-80.2126236
90 VANCOUVER DRIVE,695000,23-Aug-21,777778,5,4,,1100,99,Bungalow,Finished,2021,330000,2021,3770.61,60,119,713290031,Two Rivers,ResidentialProperty,43.563709,-80.242377
91 STARVIEW CRESCENT,749000,22-Jul-21,825000,7,3,1,,,2-Storey,Finished,,,2021,4239.08,126,31,714930408,Grange Hill East,ResidentialProperty,43.5667951,-80.22712952
92 DOWNEY ROAD,1199999,21-Aug-21,1225000,5,3,1,2000,,2-Storey,Finished,2021,582000,2021,6649,,65,712180060,Kortright Hills,ResidentialProperty,43.5009871,-80.23827432
93 STEFFLER DRIVE,549900,20-Aug-21,630000,4,3,,1100,50,2-Storey,Finished,,,2021,4319,108,49.8,-,Hanlon Creek,ResidentialProperty,43.51024992,-80.23649551
93 TEAL DRIVE,898000,19-Aug-21,898000,14,3,,1500,30,Backsplit 5,Finished,2016,430000,2021,4913.22,131.46,32.81,712190276,Kortright Hills,ResidentialProperty,43.49764541,-80.22726588
94 THORNHILL DRIVE,1149900,11-Aug-21,1060000,34,3,,1500,,Bungalow,Finished,,,2021,5655.91,114.79,73.66,-,West Willow Woods,ResidentialProperty,43.5311344,-80.3013826
96 CEDARVALE AVENUE,739000,11-Jul-21,800000,11,3,,,,2-Storey,Finished,,,2021,4000,102.69,30.63,-,Grange Hill East,ResidentialProperty,43.56016906,-80.2223937
96 GROVE STREET,1149900,28-May-21,1150000,7,4,,1500,,2-Storey,Unfinished,,,2021,4787.53,127,67,-,Two Rivers,ResidentialProperty,43.5505445,-80.2406319
96 HARRIS STREET,899900,17-Nov-21,885000,61,3,1,1100,100,2-Storey,Half,2020,341000,2020,3829,110,50,713410099,Two Rivers,ResidentialProperty,43.54825375,-80.23094528
97 COLLEGE AVENUE WEST,899900,05-May-21,900000,7,4,2,1500,,Bungalow,Finished,2021,534000,2021,5995.97,106,90,712430067,Old University,ResidentialProperty,43.526971,-80.239868
97 GRANGE STREET,879900,14-Jul-21,830000,21,3,,2000,100,2 1/2 Storey,Full,,,2021,4433,152.71,48.33,-,Two Rivers,ResidentialProperty,43.55290463,-80.24015933
98 SOUTHCREEK TRAIL,824000,26-May-21,834000,6,3,1,,30,2-Storey,Finished,,,2020,4469,,38.99,714900750,Kortright Hills,ResidentialProperty,43.51101454,-80.21534303
99 KORTRIGHT ROAD WEST,699000,20-Jul-21,803600,8,3,2,,,Bungalow,Apartment,,,2021,3999.13,120,50,-,Kortright Hills,ResidentialProperty,43.51752928,-80.21619633
99 MAPLE STREET,1089900,05-Nov-21,1060000,11,3,1,,99,1 1/2 Storey,Finished,2021,530000,2021,6055.83,150,60,-,Old University,ResidentialProperty,43.5324836,-80.2444449
